Positive,Negative,Label
0421_c5s1_104173_02.jpg,0421_c5s1_103748_01.jpg,1
0076_c3s1_018601_01.jpg,0076_c1s1_018376_02.jpg,1
1400_c3s3_056053_01.jpg,1400_c3s3_056028_01.jpg,1
0843_c2s2_104707_07.jpg,0843_c2s2_104907_04.jpg,1
0437_c3s1_128433_01.jpg,0437_c3s1_107067_01.jpg,1
0250_c5s3_079912_04.jpg,0250_c2s3_073302_01.jpg,1
0948_c4s4_060066_04.jpg,0948_c4s4_059991_07.jpg,1
1081_c1s5_014411_02.jpg,1081_c2s2_141202_01.jpg,1
0946_c5s2_119224_06.jpg,0946_c1s4_058161_03.jpg,1
0432_c3s2_070328_02.jpg,0432_c1s2_032516_01.jpg,1
1086_c3s2_146044_01.jpg,1086_c3s2_150569_02.jpg,1
0104_c6s1_018126_01.jpg,0104_c5s1_092798_06.jpg,1
0518_c1s2_069896_01.jpg,0518_c5s1_142845_01.jpg,1
0224_c6s1_055726_02.jpg,0224_c5s1_055998_01.jpg,1
0408_c3s1_096867_01.jpg,0408_c5s1_097748_03.jpg,1
0268_c6s1_068101_03.jpg,0268_c6s1_068251_02.jpg,1
0606_c3s2_057087_02.jpg,0606_c5s2_057780_01.jpg,1
0688_c1s4_009856_03.jpg,0688_c5s2_093552_01.jpg,1
1258_c6s3_045017_04.jpg,1258_c6s3_044867_05.jpg,1
0404_c3s1_096117_02.jpg,0404_c2s3_001507_03.jpg,1
0645_c1s3_046676_01.jpg,0645_c2s2_029062_09.jpg,1
0035_c4s1_003401_01.jpg,0035_c3s1_003276_01.jpg,1
0139_c6s1_069576_01.jpg,0139_c5s1_075723_03.jpg,1
0999_c3s2_143119_02.jpg,0999_c3s2_143019_07.jpg,1
0718_c6s2_055693_02.jpg,0718_c2s2_058282_01.jpg,1
0221_c1s1_046201_01.jpg,0221_c3s2_149744_02.jpg,1
1025_c5s2_132774_02.jpg,1025_c3s2_132069_03.jpg,1
0159_c1s1_030551_03.jpg,0159_c4s1_031226_01.jpg,1
0104_c6s1_018051_01.jpg,0104_c6s1_019476_04.jpg,1
0755_c4s4_031310_01.jpg,0755_c2s2_071482_03.jpg,1
0508_c3s2_081628_02.jpg,0508_c2s2_078882_02.jpg,1
0755_c6s2_068868_03.jpg,0755_c6s2_086618_01.jpg,1
0339_c4s2_004817_05.jpg,0339_c3s1_077817_01.jpg,1
1321_c3s3_038578_01.jpg,1321_c1s5_065091_01.jpg,1
0809_c3s2_108778_05.jpg,0809_c3s2_108803_06.jpg,1
0259_c3s1_054501_01.jpg,0259_c6s1_055201_03.jpg,1
0193_c6s1_038301_02.jpg,0193_c1s1_060331_08.jpg,1
0919_c5s2_115224_02.jpg,0919_c5s2_115474_06.jpg,1
0556_c5s1_159220_05.jpg,0556_c5s1_159170_01.jpg,1
0663_c5s3_085937_03.jpg,0663_c3s3_085444_05.jpg,1
0350_c6s1_087326_04.jpg,0350_c5s1_096898_02.jpg,1
0979_c3s2_124044_03.jpg,0979_c6s2_118243_02.jpg,1
1391_c1s5_073416_01.jpg,1391_c1s6_004266_03.jpg,1
0961_c6s2_118318_09.jpg,0961_c3s2_120119_01.jpg,1
0255_c6s1_054476_01.jpg,0255_c5s1_060423_01.jpg,1
1474_c5s3_060890_08.jpg,1474_c2s3_054282_08.jpg,1
1260_c5s3_071312_03.jpg,1260_c5s3_071012_02.jpg,1
0232_c5s1_055273_01.jpg,0232_c6s1_070926_01.jpg,1
1296_c2s3_031482_02.jpg,1296_c2s3_025332_02.jpg,1
0724_c6s2_073893_05.jpg,0724_c1s4_019456_03.jpg,1
0843_c2s2_104732_05.jpg,0843_c6s2_101318_11.jpg,1
0148_c3s1_030651_01.jpg,0148_c5s1_029151_02.jpg,1
0575_c1s3_024126_02.jpg,0575_c6s2_004118_02.jpg,1
0685_c3s2_049212_01.jpg,0685_c3s2_049262_01.jpg,1
0788_c6s2_106543_01.jpg,0788_c3s2_112453_02.jpg,1
0224_c3s1_046576_01.jpg,0224_c2s1_055546_01.jpg,1
0843_c3s2_107203_06.jpg,0843_c2s2_104907_04.jpg,1
0264_c6s1_056201_02.jpg,0264_c4s1_060407_02.jpg,1
0914_c6s2_108143_02.jpg,0914_c6s2_108043_01.jpg,1
1243_c1s5_055291_01.jpg,1243_c2s3_022782_10.jpg,1
1234_c3s3_016328_01.jpg,1234_c5s3_016915_02.jpg,1
0648_c2s2_031037_01.jpg,0648_c6s2_042468_01.jpg,1
0350_c6s2_004518_02.jpg,0350_c2s1_088196_04.jpg,1
0742_c3s2_075303_01.jpg,0742_c5s2_076177_02.jpg,1
1420_c5s3_052165_01.jpg,1420_c3s3_051678_01.jpg,1
0882_c6s2_103343_11.jpg,0882_c3s2_109203_11.jpg,1
1066_c6s3_004642_01.jpg,1066_c6s3_004742_01.jpg,1
0385_c3s1_108942_01.jpg,0385_c5s1_091548_05.jpg,1
1081_c4s5_016004_02.jpg,1081_c6s3_011567_01.jpg,1
1320_c1s5_061591_04.jpg,1320_c1s6_004641_01.jpg,1
0350_c1s2_015441_03.jpg,0350_c5s1_088523_04.jpg,1
1426_c3s3_053828_05.jpg,1426_c6s3_084092_04.jpg,1
0961_c3s2_120394_03.jpg,0961_c6s2_114293_09.jpg,1
0707_c3s2_055987_02.jpg,0707_c6s2_052543_03.jpg,1
0158_c1s1_028326_01.jpg,0158_c1s1_038051_02.jpg,1
0281_c6s1_062251_02.jpg,0281_c6s1_063451_01.jpg,1
0818_c5s2_102277_01.jpg,0818_c6s2_095918_01.jpg,1
0104_c3s1_018926_01.jpg,0104_c3s1_018976_01.jpg,1
0739_c2s3_061227_02.jpg,0739_c1s6_018771_01.jpg,1
0022_c6s1_004001_01.jpg,0022_c6s1_003951_01.jpg,1
0795_c3s2_089603_03.jpg,0795_c3s2_089653_04.jpg,1
0105_c6s1_036676_01.jpg,0105_c6s1_036776_01.jpg,1
0547_c1s3_009796_03.jpg,0547_c4s3_009023_01.jpg,1
0613_c3s2_018387_04.jpg,0613_c5s2_018905_02.jpg,1
0871_c2s2_105582_07.jpg,0871_c2s2_105607_04.jpg,1
0421_c2s1_103421_01.jpg,0421_c5s1_103923_01.jpg,1
1080_c6s3_006167_01.jpg,1080_c3s2_144344_01.jpg,1
0296_c5s1_071573_02.jpg,0296_c6s1_071476_01.jpg,1
0579_c2s2_009212_01.jpg,0579_c6s2_006693_04.jpg,1
1240_c1s5_046991_02.jpg,1240_c3s3_018878_01.jpg,1
0551_c5s2_012455_01.jpg,0551_c3s1_158033_02.jpg,1
0537_c5s1_152945_05.jpg,0537_c5s1_152920_05.jpg,1
0480_c2s1_125116_07.jpg,0480_c3s1_125433_01.jpg,1
1078_c1s5_008761_01.jpg,1078_c5s2_144524_01.jpg,1
0272_c6s1_056376_02.jpg,0272_c6s1_056976_01.jpg,1
1231_c6s4_019452_04.jpg,1231_c3s3_092944_07.jpg,1
0730_c6s2_102043_03.jpg,0730_c6s2_103393_04.jpg,1
0158_c5s1_038001_02.jpg,0158_c5s1_038201_02.jpg,1
1111_c6s3_013917_01.jpg,1111_c5s2_160199_02.jpg,1
0326_c3s3_081044_04.jpg,0326_c6s4_007527_02.jpg,1
0833_c6s2_117143_03.jpg,0833_c6s2_117193_03.jpg,1
0432_c1s2_032516_01.jpg,0432_c5s1_105323_05.jpg,1
0773_c1s4_017256_02.jpg,0773_c6s2_072118_01.jpg,1
1112_c1s5_016461_01.jpg,1112_c4s5_014304_01.jpg,1
1235_c6s3_040392_01.jpg,1235_c4s5_048460_02.jpg,1
